"","user_id","text","date","lang"
"1","1500259404205240320","Ukraine war prompts European reappraisal of its energy supplies  https://t.co/OThn9bqOnj",2022-03-05,"en"
"2","1500257639556603904","Peace under Trump war under Biden.  Is energy independent under president trump find financing putins-war against Ukraine with Biden.",2022-03-05,"en"
"3","1500257560603107328","“There is blood on this oil’ - Dockers at Merseyside refinery refuse to unload Russian oil. Political elites may be unwilling to stop energy flows, but it seems that workers are not

#RussiaSanctions #UkraineWar  https://t.co/yk8Qjit6CB",2022-03-05,"en"
"4","1500256345131524096","@SenatorShaheen Your support of shutting down US energy production and making US dependent on foreign sources..and thus buying from Russia...means you are supporting the funding of the war against Ukraine..and with oil prices up so high that benefits Russia.",2022-03-05,"en"
"5","1500255993426448384","Saudi Arabia hikes oil prices as crude surges on Ukraine war, Energy &amp; Commodities - THE BUSINESS TIMES https://t.co/KTcjulqVtR",2022-03-05,"en"
"6","1500255904893222912","@greenyenergy @MichaelPSenger an actor and comedian he was in a sit com 2 years ago. There has been civil war in Ukraine for last 8 years! In the east 1400 people including hundreds  children died. Ukraine is not a liberal democracy. He is handing out serious ammo to everyone incl children. In fighting now",2022-03-05,"en"
"7","1500255010495647744","@ChrisPappasNH @CityofDoverNH Your support of shutting down US energy production and making US dependent on foreign sources..and thus buying from Russia...means you are supporting the funding of the war against Ukraine..and with oil prices up so high that benefits Russia.",2022-03-05,"en"
"8","1500253014107561984","Italy wants to boost energy ties with Qatar due to war on Ukraine https://t.co/bjrl3vK30e",2022-03-05,"en"
"9","1.500252740555e+18","@LegendaryEnergy @tedcruz Ted is a pedo loser like the rest of the neocon warhawks. Russia is the ""good guy"" in this war. Ukraine is the nwo bank laundering front and human trafficking front, oh and America makes biological weapons there. Ukraine is a bad place it needs cleansing.",2022-03-05,"en"
"10","1500252393379930112","I watched President Putin he's tried calling out this build up of neo Nazism in ukraine why doesn't anyone speak of the vast amounts of human trafficking and Selected President bidens dealings in Ukraine his son Hunter and family on the energy board whole war draw attention away https://t.co/06MH9TDAtL",2022-03-05,"en"
"11","1500249530947846144",".@SenMarkey briefed reporters on his SPIGOT Act to ban #Russian oil imports. @EdMarkey says, “Oil profits directly fueled #Russia’s war on #Ukraine.” He says one way to get #Putin is to #GoGreen &amp; that clean American-made renewable energy is our “pathway to peace.” @wbznewsradio https://t.co/Jr1tvYwJxd",2022-03-05,"en"
"12","1500248512428064768","Shell to pull out of energy investments in Russia over Ukraine War <U+0001F1FA><U+0001F1E6> https://t.co/taPu6Qbuow",2022-03-05,"en"
"13","1500248359675699200","Shell to pull out of energy investments in Russia over Ukraine war https://t.co/taPu6Qbuow",2022-03-05,"en"
"14","1500248143819993088","There's a lot of blah-blah-blah going on out there about NATO and the old USSR but fact is. Putin wants Ukraine for what's under its fertile plains ... Natural gas and oil. 

#Russia | #Ukraine | #Energy | #War https://t.co/3BTmYSihDg https://t.co/0fGDYoREX5",2022-03-05,"en"
"15","1500248045547446272","@GeorgeTakei “First and foremost, President Biden needs to restart America’s energy production and quit funding Vladimir Putin’s war on Ukraine by continuing to purchase crude oil from Russia,”",2022-03-05,"en"
"16","1500246944903487488","Ukraine war prompts European reappraisal of its energy supplies | Energy | The Guardian https://t.co/0nxX3Fc6no",2022-03-05,"en"
"17","1500246409219481600","@ACTforAmerica @kaci1951 Biden is against USA energy freedom.
Biden is bought in to Putin war against freedom here &amp; in Ukraine. 
This is not news. This is obvious,
but why?! Biden lied when he yelled to US, ""buy American""!",2022-03-05,"en"
